,Title,Price,CPU Model,Style,Memory Storage Capacity,Switch Type,Brand,Average Battery Life (in hours),Data Transfer Rate,Manufacturer,Contact Type,Processor,Hard Drive,CPU Speed,Cover Material,Graphics Coprocessor,Domestic Shipping,Keyboard layout,Country of Origin,Series,Special Features,Item model number,Special Feature,Connectivity technologies,ASIN,Generation,Model Name,Screen Resolution,Theme,Material,Ink Color,Max Screen Resolution,Best Sellers Rank,Standing screen display size,International Shipping,Package Dimensions,Current Rating,Size,Operating Voltage,Date First Available,Cable Type,Hard Disk Size,Item Weight,Batteries,Department,Wireless Type,Material Type,Hardware Interface,Product Dimensions,Color,Number of USB 3.0 Ports,Screen Size,Item Thickness,Form Factor,RAM,Number of Keys,Connector Gender,Connector Type,Compatible Devices,Operation Mode,Manufacturer Part Number,Number of Buttons,Number of USB 2.0 Ports,Voltage,Ram Memory Installed Size,Keyboard Description,Operating System,Keyboard backlighting color support,Included Components,Water Resistance Level,Power Source,Customer Reviews,Language,Terminal,Chipset Brand,Is Discontinued By Manufacturer,Hardware Platform,Other display features,Number of Ports,Item Dimensions LxWxH,Connectivity Technology,Card Description
339,"Retro Typewriter Keyboard, 7KEYS Electric Typewriter Vintage with Upgraded Mechanical Bluetooth 5.0,Multi Devices Connection Classical Wooden,Punk Round Keys for Desktop PC/Laptop Mac/Phone",138,,,,,7KEYS,,,JZP,,,,,,,,,China,,,TW1867,Hotkeys_and_media_keys,,B08T9BHCJK,,TW1867,,,,,,"#1,483 in Video Games (See Top 100 in Video Games)
#19 in Mac Gaming Keyboards
#23 in GEM Box Microconsole
#91 in PC Gaming Keyboards",,,,,,,"January 18, 2021",,,1.6 pounds,1 Lithium ion batteries required. (included),,,,,12.8 x 6.6 x 1.6 inches,Wooden,,,,,,83,,,"IOS,ANDROID,Win ME,Win Vista,Win7,Win8,Win10,Linux",,,,,,,Multi Functional,,RGB,Usb_cable,,,"382 ratings
4.4 out of 5 stars",,,,No,,,,,Bluetooth,
340,Rapoo XK200 Bluetooth Microsoft Surface Pro 7/Pro 6/Surface Pro 5 (Pro 2017)/Pro 4 12.3 inch Tablet/Surface Pro 3 2014 Keyboard Case with Trackpad - Detachable Wireless Keyboard Type Cover,49,,Classic,,,Rapoo,,,"Shenzhen Rapoo Technology Co., Ltd.",,,,,,,,,,,,XK200,Hotkeys and Media Keys,,B07WSKPGWL,,XK200,,,,,,#388 in Computer Keyboards,,,,,,,"August 19, 2019",,,10.8 ounces,1 Lithium ion batteries required. (included),,,,,11 x 9 x 1 inches,Black,,,,,,78,,,Microsoft Surface Pro 7/Pro 6/Surface Pro 5 (Pro 2017)/Pro 4 12.3 inch Tablet/Surface Pro 3 2014,,,,,,,Wireless,,,Type C cable,,,"478 ratings
3.8 out of 5 stars",,,,,,,,,Bluetooth,
341,"Large Mouse Pad Extended Gaming Mousepad-31.5''x11.8''x0.16''-XXL Desk Pad, Desk Mats on Top of Desk, Waterproof Keyboard Pad with Stitched Edges& Non-Slip Rubber Base for Office& Home (Black Marble)",19,,,,,Herax,,,Herax,,,,,,,,,China,,,,,,B09SQ7K3FL,,,,,Rubber,,,"#148,530 in Office Products (See Top 100 in Office Products)
#3,360 in Mouse Pads",,,,,Extended,,"February 17, 2022",,,1.23 pounds,,,,,,31.5 x 11.81 x 0.16 inches,Black Marble,,,4 Millimeters,,,,,,,,,,,,,,,,,,,"3 ratings
4.4 out of 5 stars",,,,,,,,31.5 x 11.81 x 0.16 inches,,
342,"Wireless Gaming Keyboard and Mouse Combo,Rainbow Backlit Rechargeable 3800mAh Battery,87 Keys Mechanical Feel Ergonomic Waterproof Keyboard,RGB Gaming Mute Mouse and Mousepad for PC Gamers (Black)",41,,,,,LexonElec,,,LexonElec,,,,,,,,,,,,,,,B092TR1V8T,,,,,,,,"#3,345 in Video Games (See Top 100 in Video Games)
#224 in PC Gaming Keyboards",,,18 x 6.06 x 1.89 inches,,,,"April 18, 2021",,,2.99 pounds,1 Lithium ion batteries required. (included),,,,,,Black,,,,,,,,,,,,,,,,,Windows XP,,,,Battery Powered,"225 ratings
4.3 out of 5 stars",,,,,,,,,USB,
343,"PEIOUS Ergonomic Keyboard, Bluetooth Keyboard Multi-Device Rechargeable with Split Keyboard Layout and Wrist Rest, USB Ergo Wireless Keyboard for Mac and Windows, Laptop, Computer, Silver and White",59,,,,,PEIOUS,,,PEIOUS,,,,,,,,,China,,,,"Ergonomic, Wrist Rest, Rechargeable",,B09G31ZMSD,,,,,Rubber,,,#372 in Computer Keyboards,,,16.85 x 9.57 x 1.73 inches,,,,"March 16, 2022",,,1.96 pounds,1 Lithium ion batteries required. (included),,,,,,White,,,,,,,,,"Laptop, Tablet, Smartphone",,,,,,,2.4G + Bluetooth Ergonomic Keyboard,,,USB Cable,,,"29 ratings
4.0 out of 5 stars",,,,,,,,,Bluetooth,
344,"Snpurdiri 2.4G Wireless Gaming Keyboard and Mouse Combo , Include Mini 60% Merchanical Feel Keyboard , Ergonomic Design Wireless Mouse",29,,,,,Snpurdiri,,,SnpurTech,,,,,,,,,,,,,"Ergonomic, Backlit, Rechargeable",,B0963G9G4C,,,,,,,,"#2,786 in Video Games (See Top 100 in Video Games)
#184 in PC Gaming Keyboards",,,15.51 x 5.28 x 1.93 inches,,,,"May 28, 2021",,,1.34 pounds,,,,,,,Black Set,,,,,,,,,,,,,,,,,,,,,Battery Powered,"118 ratings
4.1 out of 5 stars",,,,,,,,,"RF, USB",
345,"Manhattan Small Bluetooth Wireless Keyboard - Dual Modes of 2.4G + Bluetooth 4.2 - Connects Up To 3 Devices – Slim Mini Size – for Tablet, Mac, iPad, Apple, Android, Windows –3 Yr Mfg Warranty –180566",17,,,,,Manhattan Products,,,Manhattan,,,,,,,,,,,,,"Ergonomic, Rechargeable",,B09TG3HMXG,,,,,,,,"#1,190 in Computer Keyboards",,,,,,,"February 25, 2022",,,9.9 ounces,2 AAA batteries required. (included),,,,,11.22 x 4.72 x 0.79 inches,White,,,,,,78,,,"Laptop, PC, Tablet, Smartphone",,,,,,,Multimedia,"Linux, Chrome OS, Apple macOS 10.15, IPadOS 13.4 or late, Android",,,,,"3 ratings
3.5 out of 5 stars",,,,,,,,11.22 x 4.72 x 0.79 inches,Bluetooth,
346,Arteck 2.4G Wireless Keyboard Stainless Steel Ultra Slim Full Size Keyboard with Numeric Keypad for Computer/Desktop/PC/Laptop/Surface/Smart TV and Windows 10/8/ 7 Built in Rechargeable Battery,19,,,,,Arteck,,,Arteck,,,,,,,,,,,,,"Ergonomic, Rechargeable",,B08B3FFJJ5,,,,,"Stainless Steel, Metal",,,#482 in Computer Keyboards,,,17.76 x 6.38 x 0.87 inches,,,,"June 12, 2020",,,1.43 pounds,1 Lithium ion batteries required. (included),,,,,,Black,,,,,,,,,"Laptop, Smart TV, PC",,,,,,,Ergonomic,Windows 10,,,,,"172 ratings
4.6 out of 5 stars",,,,,,,,,USB,
347,"V630 Wireless Keyboard and Mouse Combo, MageGee 2.4G USB 101Keys Wireless Typewriter Keyboard, Waterproof Cute Round Retro Aesthetic Keyboard for Computer,PC,Desktops,Laptop, Mac(White Pink)",22,,,,,MageGee,,,MageGee,,,,,,,,,,,,,,,B09SHD2SXH,,,,,,,,,,,,,,,"February 15, 2022",,,1.85 pounds,,,,,,17.1 x 8 x 1.5 inches,White Pink,,,,,,,,,,,,,,,,,"Windows XP, Mac OS",,,,Battery Powered,,,,,,,,,,"RF, USB",
348,"EPOMAKER SK61 61 Keys Hot Swappable Mechanical Keyboard with RGB Backlit, NKRO, IP6X Waterproof, Type-C Cable for Win/Mac/Gaming (Gateron Optical Brown, Macaron)",78,,,,,EPOMAKER,,,EPOMAKER,,,,,,,,,,,,SK61,Waterproof,,B09QQ73DRT,,,,,"Polybutylene Terephthalate, Acrylonitrile Butadiene Styrene",,,"#12,937 in Video Games (See Top 100 in Video Games)
#174 in GEM Box Microconsole
#255 in Mac Gaming Keyboards
#973 in PC Gaming Keyboards",,,13.46 x 5.55 x 1.85 inches,,,,"May 12, 2020",,,1.84 pounds,,,,,,,Macaron,,,,,,61,,,PC,,,61,,,,,,,,,,"4,940 ratings
4.6 out of 5 stars",,,,,,,,,"Bluetooth, USB",
349,"Rii Primer RGB Compact Gaming Office Keyboard RK104,Backlight Keyboard,Small 87 Keys No Number Pad Keyboard for Windows PC Laptop Desktop",14,,,,,Rii,,,Rii,,,,,,,,,,,,RK104,Lighting,,B07RN5T3W4,,,,,Acrylonitrile Butadiene Styrene,,,"#4,258 in Video Games (See Top 100 in Video Games)
#308 in PC Gaming Keyboards
#364 in Computer Keyboards",,,,,,,"May 10, 2019",,,12.3 ounces,,,,,,5.7 x 2.3 x 1.15 inches,RK104 NEW,,,,,,87,,,"Laptop, Smart TV, PC",,,87,,,,Gaming,"Windows Vista, Windows 8, Windows 7",,,,,"2,081 ratings
4.4 out of 5 stars",,,,,"Laptop, PC",,,5.7 x 2.3 x 1.15 inches,Wired,
350,"Lenovo - Tab P11 Plus - Tablet - 11"" 2K Display - MediaTek Octa-Core Processor - 4GB Memory - 128GB Storage - Dolby Atmos - Android 11 - Bluetooth & Wi-Fi - Long Battery Life - Keyboard Included",339,,,4 GB,,Lenovo,15 Hours,,,,2.05 GHz,128 GB,,,,,,,Tab P11 Plus,,,,,B09B195RP1,,,,,,,2000 x 1200,"#19,105 in Electronics (See Top 100 in Electronics)
#682 in Computer Tablets",11 Inches,,,,,,"July 21, 2021",,,,,,"5 GHz Radio Frequency, 2.4 GHz Radio Frequency, 801.11ac",,,,,,11 Inches,,,4 GB,,,,,,,,1,,,,Android,,,,,"220 ratings
4.6 out of 5 stars",,,,,,,,,,Integrated
351,"Wireless Keyboard Mouse Combo, SADES Full Size Mini Cute Round Keycap 2.4G Ultra-Thin Sleek Design for Windows, Computer, Desktop, PC, Notebook, Laptop (Candy Blue)",33,,,,,SADES,,,SADES,,,,,,,,,China,,,,,,B09GYH6BBW,,,,,,,,"#1,541 in Computer Keyboard & Mouse Combos",,,,,,,"October 27, 2021",,,1.72 pounds,1 Lithium Polymer batteries required. (included),,,,,17.32 x 5.91 x 1.93 inches,Candy Blue,,,,,,,,,,,,,,,,,"Windows xp, Windows 8, Windows 7, Windows 10",,,,Battery Powered,"68 ratings
4.3 out of 5 stars",,,,,,,,,"RF, USB",
352,"Womier K98 Mechanical Keyboard - 96% Blue Keyboard, Hot Swappable RGB Wired Mechanical Gaming Keyboard, 98 Keys Pudding Acrylic Translucent Keyboard for Mac Windows (98 Keys,Gateron Brown Switch)",86,,,,,Womier,,,Womier,,,,,,,,,,,,TC-K98-BW,Backlit,,B09NNL34K5,,,,,Acrylic,,,"#14,445 in Video Games (See Top 100 in Video Games)
#269 in Xbox Accessories
#288 in Mac Gaming Keyboards
#1,072 in PC Gaming Keyboards",,,17.13 x 9.61 x 2.13 inches,,,,"August 30, 2021",,,3.05 pounds,,,,,,,"98 Keys,Gateron Brown Switch",,,,,,,,,"Gaming Console, PC",,,24,,,,Gaming,,,,,,"14 ratings
4.6 out of 5 stars",,,,,,,,,,
353,"Aelfox Memory Foam Keyboard Wrist Rest and Mouse Wrist Rest Set, Ergonomic Wrist Support Mouse Pad Wrist Pad - Breathable, Sweat-Absorbent, Relieve Wrist Pain for Laptop, Computer, Home, Office",17,,,,,Aelfox,,,Aelfox,,,,,,,,,,,,WRIST REST#COMBO#FU02,,,B08LV2FNPQ,,,,,Memory Foam,,,"#59,035 in Office Products (See Top 100 in Office Products)
#320 in Wrist Rests",,,,,Keyboard+Mouse Wrist Rests Combo,,"October 26, 2020",,,1.04 pounds,,,,Memory Foam,,17.32 x 3.03 x 0.98 inches,Keyboard+mouse Rests Combo,,,,,,,,,,,WRIST REST#COMBO#FU02,,,,,,,,,,,"139 ratings
4.3 out of 5 stars",,,,,,,,17.32 x 3.03 x 0.98 inches,,
354,"OMOTON Wireless Keyboard and Mouse Combo, Numeric Keypad/ Multimedia Shortcuts/ 3-Level Adjustable DPI, for Computer, PC, Desktop, Laptop with Windows System, Silver",15,,,,,OMOTON,,,OMOTON,,,,,,,,,,,,,,,B08D6LJ7HJ,,,,,,,,#209 in Computer Keyboard & Mouse Combos,,,,,,,"July 17, 2020",,,1.28 pounds,,,,,,13.7 x 4.84 x 0.77 inches,Silver,,,,,,,,,,,,,,,,,"Windows xp, Windows vista, Windows 2000",,,,Battery Powered,"778 ratings
4.1 out of 5 stars",,,,,,,,,"RF, USB",
355,"Rii Primer RGB Compact Gaming Office Keyboard RK104,Backlight Keyboard,Small 87 Keys No Number Pad Keyboard for Windows PC Laptop Desktop",14,,,,,Rii,,,Rii,,,,,,,,,,,,RK104,Lighting,,B07RN5T3W4,,,,,Acrylonitrile Butadiene Styrene,,,"#4,258 in Video Games (See Top 100 in Video Games)
#308 in PC Gaming Keyboards
#364 in Computer Keyboards",,,,,,,"May 10, 2019",,,12.3 ounces,,,,,,5.7 x 2.3 x 1.15 inches,RK104 NEW,,,,,,87,,,"Laptop, Smart TV, PC",,,87,,,,Gaming,"Windows Vista, Windows 8, Windows 7",,,,,"2,081 ratings
4.4 out of 5 stars",,,,,"Laptop, PC",,,5.7 x 2.3 x 1.15 inches,Wired,
356,"Gaming Keyboard, Qwecfly Wireless Gaming Keyboard, Rechargeable Backlit Keyboard, Wireless Wired Dual-Mode Quiet Keyboard with Ergonomic Wrist Rest, 9 Multimedia Keys, 26 Keys Rollover for Laptop, PC",59,,,,,Qwecfly,,,Qwecfly,,,,,,,,,China,,,,"Ergonomic, Backlit, Wrist Rest, Foldable, Rechargeable",,B09HCNH5FG,,,,,,,,"#12,956 in Video Games (See Top 100 in Video Games)
#256 in Mac Gaming Keyboards
#974 in PC Gaming Keyboards",,,,,,,"September 28, 2021",,,1.72 pounds,1 Lithium ion batteries required.,,,,,17.56 x 7.68 x 1.38 inches,,,,,,,104,,,"Laptop, PC",,,104,,,,Gaming,,,,,,"32 ratings
4.4 out of 5 stars",,,,,,,,17.56 x 7.68 x 1.38 inches,"Wireless, Wired",
357,"EPOMAKER SK61 61 Keys Hot Swappable Mechanical Keyboard with RGB Backlit, NKRO, IP6X Waterproof, Type-C Cable for Win/Mac/Gaming (Gateron Optical Brown, Macaron)",78,,,,,EPOMAKER,,,EPOMAKER,,,,,,,,,,,,SK61,Waterproof,,B09QQ73DRT,,,,,"Polybutylene Terephthalate, Acrylonitrile Butadiene Styrene",,,"#12,937 in Video Games (See Top 100 in Video Games)
#174 in GEM Box Microconsole
#255 in Mac Gaming Keyboards
#973 in PC Gaming Keyboards",,,13.46 x 5.55 x 1.85 inches,,,,"May 12, 2020",,,1.84 pounds,,,,,,,Macaron,,,,,,61,,,PC,,,61,,,,,,,,,,"4,940 ratings
4.6 out of 5 stars",,,,,,,,,"Bluetooth, USB",
358,CORSAIR Wireless Gaming Bundle - K57 RGB Wireless Gaming Keyboard - Harpoon RGB Wireless Gaming Mouse - Hyper-Fast Slipstream Wireless Technology,129,,,,,Corsair,,,Corsair,,,,,,,,,Taiwan,,,CH-925C115-NA,"Ergonomic, Rechargeable",,B096GBQLWZ,,,,,,,,"#1,735 in Video Games (See Top 100 in Video Games)
#109 in PC Gaming Keyboards",,,,,,,"July 6, 2021",,,3.69 pounds,1 Lithium Polymer batteries required. (included),,,,,23.43 x 7.83 x 2.2 inches,,,,,,,,,,,,,,,,,,,,,,Battery Powered,"214 ratings
4.5 out of 5 stars",,,,,PC,,,23.43 x 7.83 x 2.2 inches,"Bluetooth, USB",
359,Microsoft Wired Keyboard 600 (Black). Wired Keyboard for Gaming Experience. USB Connectivity. Spill Resistant Design.,14,,,,,Microsoft,,,Microsoft,,,,,,,,,,,,ANB-00001,Noise canceling,,B001OAR26K,,,,,,,,#78 in Computer Keyboards,,,,,,,"December 23, 2008",,,1.65 pounds,,,,,,18.6 x 1.5 x 6.9 inches,Black,,,,,,3,,,PC,,,,,,,NULL,Windows Vista,,,,,"2,880 ratings
4.6 out of 5 stars",,,,No,,,,18.6 x 1.5 x 6.9 inches,Wired,
360,"KLIM Light V2 Rechargeable Wireless Keyboard + New 2022 + Slim, Durable, Ergonomic + Backlit Wireless Gaming Keyboard for Laptop PC Mac PS4 PS5 Xbox One + Long-Lasting Built-in Battery",34,,,,,KLIM,,,KLIM,,,,,,,,,,,,k69us,Ergonomic,,B085ZSX8PN,,Light v2,,,,,,"#2,153 in Video Games (See Top 100 in Video Games)
#30 in Mac Gaming Keyboards
#140 in PC Gaming Keyboards
#196 in Xbox One Accessories",,,,,,,"March 17, 2020",,,1.23 pounds,1 Lithium ion batteries required.,,,,,17.17 x 5.47 x 1.06 inches,Black,,,,,,105,,,"Laptop, Gaming Console, PC",,,,,,,Gaming,,Single Color,USB Cable,,,"1,504 ratings
4.3 out of 5 stars",,,,,,,,,USB,
361,"Mini Keyboard, Wireless Touchpad Keyboard, Portable 7 Colors RGB Backlit Keyboard, 2.4G Rechargeable Controller Mouse Combo, Compatible with PC, Laptops, Smart TVs",14,,,,,GECENinov,,,Gecen,,,,,,,,,,,,,,,B08Z324T1M,,,,,,,,#328 in Computer Keyboard & Mouse Combos,,,6.65 x 4.76 x 1.06 inches,,,,"March 16, 2021",,,4.9 ounces,1 Lithium ion batteries required. (included),,,,,,7-Backlit,,,,,,,,,,,,,,,,,,,,,Battery Powered,"610 ratings
4.0 out of 5 stars",,,,,,,,,RF,
362,"MoMoone Portable Bluetooth Colorful Computer Keyboards, Wireless Mini Compact Retro Typewriter Flexible 84Keys Design Keyboard for Tablet Computer, PC(Blue-White)",$36.59,,Retro,,,Momoone,,,MOMOONE,,,,,,,,QWERTY,China,,,,"Typewriter Design, Girls Gift, Spill_proof, Water_resistant, Hotkeys_and_media_keys",,B08QCY9HYG,,,,,,,,"#1,227 in Computer Keyboards",,,,,,,"December 11, 2020",,,1.35 pounds,2 AAA batteries required.,,,,,12.6 x 5.51 x 0.98 inches,Blue-white,,,,,,84,,,"Laptop, Smart TV, PC with bluetooth, Tablet, Smart Phones",,,,,,,Wireless,,,,,,"281 ratings
4.5 out of 5 stars",,,,,,,,12.6 x 5.51 x 0.98 inches,Bluetooth,
363,"Wireless Bluetooth Keyboard Russian for Mac ,Windows ,Android , 78 Key Keyboard Wireless Keyboard Multi Functional Ultra Thin",24,,,,,Fosa,,,fosa,,,,,,,,,,,,,"Wireless, Bluetooth",,B07TJMS6XM,,,,,Acrylonitrile Butadiene Styrene,,,"#2,092 in Computer Keyboards",,,,,,,"June 28, 2019",,,11.6 ounces,,,,,,11.22 x 4.72 x 0.79 inches,Default,,,,,,78,,,PC,,,78,,,,Multi Functional,"MAC IOS, Windows XP, Windows 8, Windows 7, Android, Windows 10",,,,Battery Powered,"58 ratings
3.9 out of 5 stars",,,,,"Laptop, PC",,,11.22 x 4.72 x 0.79 inches,Bluetooth,
364,"Wireless Keyboard, Arteck 2.4G Wireless Touch TV Keyboard with Easy Media Control and Built-In Touchpad Mouse Solid Stainless Ultra Compact Full Size Keyboard for TV-Connected Computer, Smart TV, HTPC",25,,,,,Arteck,,,Arteck,,,,,,,,,China,,,HW197,Trackpad,,B07FSKZVRG,,,,,,,,#31 in Computer Keyboard & Mouse Combos,,,,,,,"July 23, 2018",,,1 pounds,2 AAA batteries required. (included),,,,,14.65 x 5.04 x 0.67 inches,,,,,,,3,,,"Laptop, Smart TV, Gaming Console, PC",,,,,,,US,"Chrome OS, Windows 10",,,,,"6,227 ratings
4.3 out of 5 stars",,,,No,,,,14.65 x 5.04 x 0.67 inches,Wireless,
365,"One Handed Gaming Keyboard and Mouse Combo, RGB Backlit 35 Keys Portable Mini Gaming Keyboard, with Wrist Rest Support, Half Keyboard Gaming Set for Pc Gamers",19,,,,,EQEOVGA,,,BUFENG MOUNTAIN,,,,,,,,,,,,K50L combo,,,B07R4LJT42,,,,,,,,"#3,194 in Video Games (See Top 100 in Video Games)
#71 in Xbox Accessories
#143 in Mac Accessories
#215 in PC Gaming Keyboards",,,,,,,"April 30, 2019",,,15.5 ounces,,,,,,9.17 x 7.16 x 1.49 inches,Black combo,,,,,,,,,,,,,,,,,"Linux, Windows me, Windows vista, Windows 10",,,,Hand,"1,882 ratings
4.1 out of 5 stars",,,,No,,,,,Wired,
366,"Ergonomic Wireless Keyboard Mouse, ProtoArc EKM01 Ergo Bluetooth Keyboard and Mouse Combo, Split Design, Palm Rest, Multi-Device, Rechargeable, Windows/Mac/Android",109,,,,,ProtoArc,,,ProtoArc,,,,,,,,,China,,,EKM01,,,B09T3F7DZN,,,,,,,,#118 in Computer Keyboard & Mouse Combos,,,17.56 x 11.69 x 2.56 inches,,,,"February 22, 2022",,,3.15 pounds,1 Lithium Polymer batteries required. (included),,,,,,Black,,,,,,,,,,,,,,,,,"Windows, Mac OS, Android",,,,Battery Powered,"7 ratings
5.0 out of 5 stars",,,,,,,,,"Bluetooth, 2.4GHz",
367,"YSCP Mechanical Gaming Keyboard Typewriter Style with RGB LED Rainbow Backlit Blue Switch Retro Steampunk Round Keycaps for Windows PC Gamers (87 Keys,White)",$36.98,,,,,YSCP,,,REQUIN,,,,,,,,,Taiwan,,,HJK917-7,Ergonomic,,B08LN5JVHW,,HJK917-7,,,,,,"#4,508 in Video Games (See Top 100 in Video Games)
#81 in Mac Gaming Keyboards
#332 in PC Gaming Keyboards",,,,,,,"October 22, 2020",,,1.29 pounds,,,,,,13.78 x 4.84 x 1.38 inches,Elegant white,,,,,,87,,,"PC, Windows, IOS, Mac, Android",,,,,,,100% anti-ghosting gaming keyboard,,RGB,1 *Professional User Manual 1 * Mechanical ke… See more,,,"260 ratings
4.5 out of 5 stars",,,,No,,,,,USB,
368,"Wireless Keyboard and Mouse, Rechargeable 2.4GHz Ultra-Slim Keyboard Mouse Combo with Whisper-Quiet Mouse for Windows, Laptop, PC, Desktop - Black",23,,,,,Nasuque,,,Nasuque,,,,,,,,,China,,,,,,B09Y19RHK5,,,,,,,,#182 in Computer Keyboard & Mouse Combos,,,15.43 x 5.31 x 1.61 inches,,,,"April 15, 2022",,,1.34 pounds,,,,,,,Black,,,,,,,,,,,,,,,,,Windows xp,,,,Battery Powered,"23 ratings
4.7 out of 5 stars",,,,,,,,,Wi-Fi Built In,
369,"Rii RK100+ White Gaming Keyboard,USB Wired Multiple Colors Rainbow LED Backlit Large Size Mechanical Feeling Ultra-Slim Multimedia Office Keyboard Non-Slip for Primer Gaming and Working,Office Device",14,,,,,Rii,,,Riitek,,,,,,,,,,,,4328321916,Non-slip,,B073P2H4J5,,,,,,,,"#3,100 in Video Games (See Top 100 in Video Games)
#42 in Mac Gaming Keyboards
#690 in PC Accessories",,,17.72 x 6.93 x 1.54 inches,,,,"July 2, 2017",,,1.7 pounds,,,,,,,White,,,,,,104,,,"Laptop, Smart TV",,,104,,,,Gaming,,,,,,"2,744 ratings
4.4 out of 5 stars",,,,No,,,,,Wired,
370,"Redragon K512 Shiva RGB Backlit Membrane Gaming Keyboard with Multimedia Keys, Linear Mechanical-Feel Switch, 6 Extra On-Board Macro Keys, Dedicated Media Control, Detachable Wrist Rest",34,,,,,Redragon,,,Redragon,,,,,,,,,China,,,K512,Lighting,,B07ZV2CKH4,,Shiva,,,,,,"#2,323 in Video Games (See Top 100 in Video Games)
#155 in PC Gaming Keyboards",,,19.75 x 7.5 x 2.5 inches,,,,"November 7, 2019",,,2.09 pounds,,,,,,,Black,,,,,,110,,,Gaming Console,,,9,,,,104 Keys Wired Gaming Membrane Keyboard,PC/Mac/Linux/Unix,,,,,"2,274 ratings
4.6 out of 5 stars",,,,,,,,,USB,
371,"Apple Magic Keyboard (Wireless, Rechargable) (US English) - Silver (Renewed)",$82.99,,Keyboard Only,,,Apple,,,Apple Computer,,,,,,,,,,,,Magic Keyboard,Travel,,B07Q6NSDT8,,,,,,,,#313 in Computer Keyboards,,,,,,,"March 29, 2019",,,13.6 ounces,,,,,,11.5 x 1 x 5 inches,Silver,,,,,,,,,,,,,,,,,"Mac Os x, Mac os x el capitan",,,,,"65 ratings
4.4 out of 5 stars",,,,No,,,,11.5 x 1 x 5 inches,Wireless,
372,"Retro Steampunk Mechanical Gaming Keyboard, Metal Panel, Black Switches, LED Backlit,USB Wired,Hand Rest,Typewriter-Style Round Keycaps,for Game and Office,for Computer Laptop Desktop PC(2088-White)",49,,蒸汽朋克,,,CC MALL,,,"Dongguan Suoai Electronics &Technology Co.,Ltd.",,,,,,,,,China,,,KB-2088-Si,Lighting,,B07MVT55F3,,,,,,,,"#7,033 in Video Games (See Top 100 in Video Games)
#136 in Mac Gaming Keyboards
#528 in PC Gaming Keyboards",,,,,,,"January 6, 2019",,,2.35 pounds,,,,,,18 x 6 x 2 inches,Silver,,,,,,104,,,"Laptop, PC",,,,,,,Gaming,,Single Color,Keycap_puller,,,"901 ratings
4.4 out of 5 stars",,,,No,,,,,Wired,
373,"i-rocks K73M Mechanical Gaming Keyboard with Media Control Knob, 107 Keys, PBT Keycaps, Multimedia Hotkeys, Detachable USB-C Cable (Cherry MX Brown Switches, Cyberpunk Blue)",89,,,,,I-rocks,,,i-rocks,,,,,,,,,,,,,"Ergonomic, Backlit, Water Resistant",,B09KXR4CRC,,,,,Polybutylene Terephthalate,,,,,,,,,,"November 3, 2021",,,2.7 pounds,,,,,,17.56 x 5.51 x 1.65 inches,Cyberpunk Blue,,,,,,,,,,,,,,,,Multimedia,,,,,,,,,,,,,,17.56 x 5.51 x 1.65 inches,"USB, USB-C",
374,ZtotopCase Keyboard Case for Samsung Galaxy Tab A7 10.4 inch 2020 (Model SM-T500/T505/T507 2020) Soft PU Leather & Flexible Stand Back Cover with Removable Wireless Bluetooth Keyboard - Black,27,,,,,ZtotopCase,,,ZtotopCase,,,,,,,,,,,Magnetic,,Magnetic,Bluetooth,B08D6QJVF6,,,,,Synthetic leather,,,"#10,434 in Tablet Cases",,,,,,,"September 15, 2021",,,1.3 pounds,1 Lithium Polymer batteries required. (included),,,,,8.2 x 5.5 x 0.5 inches,,,,,Case,,3,,,Samsung galaxy tab,,,,,,,Flexible,,,,,,"138 ratings
4.6 out of 5 stars",,,,,,PC Accessory,,8.2 x 5.5 x 0.5 inches,Bluetooth,
375,"Ocean Key Artisan Keycap for DIY Replacement and Decoration, Handmade Resin Keycap Interstellar Resin Keycap for Switch Gaming, Cherry MX Mechanical Keyboards (Blue)",46,,,,,Generic,,,Oceankey,,,,,,,,,,,,,,,B09J19Y1XD,,,,,Resin,,,"#2,275 in Computer Keyboards",,,,,,,"October 9, 2021",,,1.76 ounces,,,,,,0.71 x 0.71 x 0.67 inches,Blue,,,,,,,,,"Keyboard, Gaming",,,,,,,,,,,,,"2 ratings
5.0 out of 5 stars",,,,,,,,0.71 x 0.71 x 0.67 inches,,
376,"Wireless Keyboard, Arteck 2.4G Wireless Touch TV Keyboard with Easy Media Control and Built-In Touchpad Mouse Solid Stainless Ultra Compact Full Size Keyboard for TV-Connected Computer, Smart TV, HTPC",25,,,,,Arteck,,,Arteck,,,,,,,,,China,,,HW197,Trackpad,,B07FSKZVRG,,,,,,,,#31 in Computer Keyboard & Mouse Combos,,,,,,,"July 23, 2018",,,1 pounds,2 AAA batteries required. (included),,,,,14.65 x 5.04 x 0.67 inches,,,,,,,3,,,"Laptop, Smart TV, Gaming Console, PC",,,,,,,US,"Chrome OS, Windows 10",,,,,"6,227 ratings
4.3 out of 5 stars",,,,No,,,,14.65 x 5.04 x 0.67 inches,Wireless,
